                                                                        link                                                                        | area_bruta_m2 | preco_atual 
 https://remax.pt/pt/imoveis/venda-terreno-ttorre-de-moncorvo-larinho/125031191-2                                                                   |             0 |       30000
 https://remax.pt/pt/imoveis/venda-terreno-toliveira-de-azemeis-oliveira-de-azemeis-santiago-de-riba-ul-ul-macinhata-da-seixa-e-madail/126861014-49 |             0 |       29900
 https://remax.pt/pt/imoveis/venda-terreno-tviseu-sao-pedro-de-france/126021010-171                                                                 |             0 |       28000
 https://remax.pt/pt/imoveis/venda-terreno-tmafra-azueira-e-sobral-da-abelheira/121901124-1495                                                      |             0 |       27500
 https://remax.pt/pt/imoveis/venda-terreno-tmangualde-espinho/127141012-1                                                                           |             0 |       25000
 https://remax.pt/pt/imoveis/venda-terreno-tmealhada-vacarica/124961064-38                                                                          |             0 |       25000
 https://remax.pt/pt/imoveis/venda-terreno-tmealhada-vacarica/124961064-37                                                                          |             0 |       25000
 https://remax.pt/pt/imoveis/venda-terreno-tporto-de-mos-pedreiras/121261110-97                                                                     |             0 |       20000
 https://remax.pt/pt/imoveis/venda-terreno-tporto-de-mos-juncal/121261110-98                                                                        |             0 |       15000
 https://remax.pt/pt/imoveis/venda-terreno-tvalenca-cerdal/127231012-3                                                                              |             0 |       15000
 https://remax.pt/pt/imoveis/venda-terreno-t0-tomar-paialvo/120941087-98                                                                            |             0 |       14750
 https://remax.pt/pt/imoveis/venda-terreno-tsardoal-sardoal/125091018-255                                                                           |             0 |        6500
 https://remax.pt/pt/imoveis/venda-terreno-tbatalha-sao-mamede/124631161-15                                                                         |             0 |        5500
 https://remax.pt/pt/imoveis/venda-terreno-tbatalha-sao-mamede/124631161-22                                                                         |             0 |        3100
 https://remax.pt/pt/imoveis/venda-terreno-tbatalha-sao-mamede/124631161-18                                                                         |             0 |        3100
 https://remax.pt/pt/imoveis/venda-terreno-tviseu-sao-pedro-de-france/126021010-170                                                                 |             0 |        2500
 https://remax.pt/pt/imoveis/venda-terreno-tbatalha-sao-mamede/124631161-21                                                                         |             0 |        2500
(85 rows)

